date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:15	56239/56239	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/index-2.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/index-2.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:16	63118/63118	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/index-3.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/index-3.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:16	70912/70912	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/index-4.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/index-4.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:16	42806/42806	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/about.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/about.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:16	32009/32009	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/services-grid.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/services-grid.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:16	32104/32104	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/service-details.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/service-details.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:17	31326/31326	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:14%20GMT	https://templates.envytheme.com/ridgi/default/checkout.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/checkout.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:17	31164/31164	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/cart.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/cart.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:17	42072/42072	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/product-grid-view.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-grid-view.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:17	42940/42940	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/product-list-view.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-list-view.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:18	36812/36812	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/product-filter-view.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-filter-view.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:18	47129/47129	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/product-left-sidebar.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-left-sidebar.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:18	47115/47115	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:16%20GMT	https://templates.envytheme.com/ridgi/default/product-right-sidebar.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-right-sidebar.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:18	38266/38266	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:15%20GMT	https://templates.envytheme.com/ridgi/default/product-details.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/product-details.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:18	32476/32476	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/blog-grid.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/blog-grid.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:19	36867/36867	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/blog-right-sidebar.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/blog-right-sidebar.html	(from https://templates.envytheme.com/ridgi/default/index.html)
13:21:19	36877/36877	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2010:19:13%20GMT	https://templates.envytheme.com/ridgi/default/blog-left-sidebar.html	C:/My%20Web%20Sites/D-8/templates.envytheme.com/ridgi/default/blog-left-sidebar.html	(from https://templates.envytheme.com/ridgi/default/index.html)
